PhraseId,SentenceId,Phrase,Sentiment,Phrase(origin),Sentiment(predict),Difference(Pharse),Difference(Sentence)
1,1,"A series of escapades demonstrating the adage that what is good for the goose is also good for the gander , some of which occasionally amuses but none of which amounts to much of a story .",1,"A series of escapades demonstrating the adage that what is good for the goose is also good for the gander , some of which occasionally amuses but none of which amounts to much of a story .",3,2,3
2,1,A series of escapades demonstrating the adage that what is good for the goose,2,A series of escapades demonstrating the adage that what is good for the goose,2,0,3
3,1,A series,2,A series,2,0,3
4,1,A,2,A,2,0,3
5,1,series,2,series,2,0,3
6,1,of escapades demonstrating the adage that what is good for the goose,2,of escapades demonstrating the adage that what is good for the goose,2,0,3
7,1,of,2,of,2,0,3
8,1,escapades demonstrating the adage that what is good for the goose,2,escapades demonstrating the adage that what is good for the goose,2,0,3
9,1,escapades,2,escapades,2,0,3
10,1,demonstrating the adage that what is good for the goose,2,demonstrating the adage that what is good for the goose,2,0,3
11,1,demonstrating the adage,2,demonstrating the adage,2,0,3
12,1,demonstrating,2,demonstrating,2,0,3
13,1,the adage,2,the adage,2,0,3
14,1,the,2,the,2,0,3
15,1,adage,2,adage,2,0,3
16,1,that what is good for the goose,2,that what is good for the goose,2,0,3
17,1,that,2,that,2,0,3
18,1,what is good for the goose,2,what is good for the goose,2,0,3
19,1,what,2,what,2,0,3
20,1,is good for the goose,2,is good for the goose,3,1,3
21,1,is,2,is,2,0,3
22,1,good for the goose,3,good for the goose,2,1,3
23,1,good,3,good,3,0,3
24,1,for the goose,2,for the goose,2,0,3
25,1,for,2,for,2,0,3
26,1,the goose,2,the goose,2,0,3
27,1,goose,2,goose,2,0,3
28,1,"is also good for the gander , some of which occasionally amuses but none of which amounts to much of a story .",2,"is also good for the gander , some of which occasionally amuses but none of which amounts to much of a story .",1,1,3
29,1,"is also good for the gander , some of which occasionally amuses but none of which amounts to much of a story",2,"is also good for the gander , some of which occasionally amuses but none of which amounts to much of a story",1,1,3
30,1,is also,2,is also,2,0,3
31,1,also,2,also,2,0,3
32,1,"good for the gander , some of which occasionally amuses but none of which amounts to much of a story",2,"good for the gander , some of which occasionally amuses but none of which amounts to much of a story",1,1,3
33,1,"for the gander , some of which occasionally amuses but none of which amounts to much of a story",2,"for the gander , some of which occasionally amuses but none of which amounts to much of a story",2,0,3
34,1,"the gander , some of which occasionally amuses but none of which amounts to much of a story",1,"the gander , some of which occasionally amuses but none of which amounts to much of a story",2,1,3
35,1,"the gander ,",2,"the gander ,",2,0,3
36,1,the gander,2,the gander,2,0,3
37,1,gander,2,gander,2,0,3
38,1,",",2,",",2,0,3
39,1,some of which occasionally amuses but none of which amounts to much of a story,2,some of which occasionally amuses but none of which amounts to much of a story,2,0,3
40,1,some of which,2,some of which,2,0,3
41,1,some,2,some,2,0,3
42,1,of which,2,of which,2,0,3
43,1,which,2,which,2,0,3
44,1,occasionally amuses but none of which amounts to much of a story,2,occasionally amuses but none of which amounts to much of a story,1,1,3
45,1,occasionally,2,occasionally,2,0,3
46,1,amuses but none of which amounts to much of a story,2,amuses but none of which amounts to much of a story,1,1,3
47,1,amuses,3,amuses,2,1,3
48,1,but none of which amounts to much of a story,1,but none of which amounts to much of a story,1,0,3
49,1,but,2,but,2,0,3
50,1,none of which amounts to much of a story,1,none of which amounts to much of a story,1,0,3
51,1,none,2,none,2,0,3
52,1,of which amounts to much of a story,2,of which amounts to much of a story,2,0,3
53,1,which amounts to much of a story,2,which amounts to much of a story,1,1,3
54,1,amounts to much of a story,2,amounts to much of a story,1,1,3
55,1,amounts,2,amounts,2,0,3
56,1,to much of a story,2,to much of a story,2,0,3
57,1,to,2,to,2,0,3
58,1,much of a story,2,much of a story,2,0,3
59,1,much,2,much,2,0,3
60,1,of a story,2,of a story,2,0,3
61,1,a story,2,a story,2,0,3
62,1,story,2,story,2,0,3
63,1,.,2,.,2,0,3
64,2,"This quiet , introspective and entertaining independent is worth seeking .",4,"This quiet , introspective and entertaining independent is worth seeking .",3,1,2
65,2,"This quiet , introspective and entertaining independent",3,"This quiet , introspective and entertaining independent",3,0,2
66,2,This,2,This,2,0,2
67,2,"quiet , introspective and entertaining independent",4,"quiet , introspective and entertaining independent",3,1,2
68,2,"quiet , introspective and entertaining",3,"quiet , introspective and entertaining",3,0,2
69,2,quiet,2,quiet,2,0,2
70,2,", introspective and entertaining",3,", introspective and entertaining",2,1,2
71,2,introspective and entertaining,3,introspective and entertaining,2,1,2
72,2,introspective and,3,introspective and,2,1,2
73,2,introspective,2,introspective,2,0,2
74,2,and,2,and,2,0,2
75,2,entertaining,4,entertaining,2,2,2
76,2,independent,2,independent,2,0,2
77,2,is worth seeking .,3,is worth seeking .,3,0,2
78,2,is worth seeking,4,is worth seeking,3,1,2
79,2,is worth,2,is worth,3,1,2
80,2,worth,2,worth,2,0,2
81,2,seeking,2,seeking,2,0,2
82,3,"Even fans of Ismail Merchant 's work , I suspect , would have a hard time sitting through this one .",1,"Even fans of Ismail Merchant 's work , I suspect , would have a hard time sitting through this one .",2,1,2
83,3,Even fans of Ismail Merchant 's work,2,Even fans of Ismail Merchant 's work,2,0,2
84,3,Even fans,2,Even fans,2,0,2
85,3,Even,2,Even,2,0,2
86,3,fans,3,fans,2,1,2
87,3,of Ismail Merchant 's work,2,of Ismail Merchant 's work,2,0,2
88,3,Ismail Merchant 's work,2,Ismail Merchant 's work,2,0,2
89,3,Ismail Merchant 's,2,Ismail Merchant 's,2,0,2
90,3,Ismail,2,Ismail,2,0,2
91,3,Merchant 's,2,Merchant 's,2,0,2
92,3,Merchant,2,Merchant,2,0,2
93,3,'s,2,'s,2,0,2
94,3,work,2,work,2,0,2
95,3,", I suspect , would have a hard time sitting through this one .",1,", I suspect , would have a hard time sitting through this one .",2,1,2
96,3,", I suspect ,",2,", I suspect ,",2,0,2
97,3,"I suspect ,",2,"I suspect ,",2,0,2
98,3,I suspect,2,I suspect,2,0,2
99,3,I,2,I,2,0,2
100,3,suspect,2,suspect,2,0,2
101,3,would have a hard time sitting through this one .,1,would have a hard time sitting through this one .,2,1,2
102,3,would have a hard time sitting through this one,0,would have a hard time sitting through this one,2,2,2
103,3,would,2,would,2,0,2
104,3,have a hard time sitting through this one,0,have a hard time sitting through this one,2,2,2
105,3,have,2,have,2,0,2
106,3,a hard time sitting through this one,1,a hard time sitting through this one,2,1,2
107,3,a hard time,1,a hard time,2,1,2
108,3,hard time,1,hard time,2,1,2
109,3,hard,2,hard,2,0,2
110,3,time,2,time,2,0,2
111,3,sitting through this one,1,sitting through this one,2,1,2
112,3,sitting,2,sitting,2,0,2
113,3,through this one,2,through this one,2,0,2
114,3,through,2,through,2,0,2
115,3,this one,2,this one,2,0,2
116,3,one,2,one,2,0,2
117,4,"A positively thrilling combination of ethnography and all the intrigue , betrayal , deceit and murder of a Shakespearean tragedy or a juicy soap opera .",3,"A positively thrilling combination of ethnography and all the intrigue , betrayal , deceit and murder of a Shakespearean tragedy or a juicy soap opera .",1,2,2
118,4,"A positively thrilling combination of ethnography and all the intrigue , betrayal , deceit and murder of a Shakespearean tragedy or a juicy soap opera",4,"A positively thrilling combination of ethnography and all the intrigue , betrayal , deceit and murder of a Shakespearean tragedy or a juicy soap opera",1,3,2
119,4,"A positively thrilling combination of ethnography and all the intrigue , betrayal , deceit and murder",4,"A positively thrilling combination of ethnography and all the intrigue , betrayal , deceit and murder",1,3,2
120,4,A positively thrilling combination,3,A positively thrilling combination,2,1,2
121,4,positively thrilling combination,3,positively thrilling combination,2,1,2
122,4,positively,3,positively,2,1,2
123,4,thrilling combination,3,thrilling combination,2,1,2
124,4,thrilling,4,thrilling,2,2,2
125,4,combination,2,combination,2,0,2
126,4,"of ethnography and all the intrigue , betrayal , deceit and murder",2,"of ethnography and all the intrigue , betrayal , deceit and murder",2,0,2
127,4,"ethnography and all the intrigue , betrayal , deceit and murder",2,"ethnography and all the intrigue , betrayal , deceit and murder",2,0,2
128,4,ethnography and,2,ethnography and,2,0,2
129,4,ethnography,2,ethnography,2,0,2
130,4,"all the intrigue , betrayal , deceit and murder",2,"all the intrigue , betrayal , deceit and murder",2,0,2
131,4,all,2,all,2,0,2
132,4,"the intrigue , betrayal , deceit and murder",1,"the intrigue , betrayal , deceit and murder",2,1,2
133,4,"intrigue , betrayal , deceit and murder",2,"intrigue , betrayal , deceit and murder",2,0,2
134,4,intrigue,3,intrigue,2,1,2
135,4,", betrayal , deceit and murder",2,", betrayal , deceit and murder",2,0,2
136,4,"betrayal , deceit and murder",1,"betrayal , deceit and murder",2,1,2
137,4,betrayal,2,betrayal,2,0,2
138,4,", deceit and murder",1,", deceit and murder",2,1,2
139,4,deceit and murder,1,deceit and murder,2,1,2
140,4,deceit and,2,deceit and,2,0,2
141,4,deceit,1,deceit,2,1,2
142,4,murder,1,murder,2,1,2
143,4,of a Shakespearean tragedy or a juicy soap opera,2,of a Shakespearean tragedy or a juicy soap opera,2,0,2
144,4,a Shakespearean tragedy or a juicy soap opera,2,a Shakespearean tragedy or a juicy soap opera,2,0,2
145,4,a Shakespearean tragedy or,2,a Shakespearean tragedy or,2,0,2
146,4,a Shakespearean tragedy,1,a Shakespearean tragedy,2,1,2
147,4,Shakespearean tragedy,2,Shakespearean tragedy,2,0,2
148,4,Shakespearean,2,Shakespearean,2,0,2
149,4,tragedy,1,tragedy,2,1,2
150,4,or,2,or,2,0,2
151,4,a juicy soap opera,3,a juicy soap opera,2,1,2
152,4,juicy soap opera,3,juicy soap opera,2,1,2
153,4,juicy,3,juicy,2,1,2
154,4,soap opera,1,soap opera,2,1,2
155,4,soap,2,soap,2,0,2
156,4,opera,2,opera,2,0,2
157,5,Aggressive self-glorification and a manipulative whitewash .,1,Aggressive self-glorification and a manipulative whitewash .,2,1,2
158,5,Aggressive self-glorification and a manipulative whitewash,0,Aggressive self-glorification and a manipulative whitewash,2,2,2
159,5,Aggressive,2,Aggressive,2,0,2
160,5,self-glorification and a manipulative whitewash,0,self-glorification and a manipulative whitewash,2,2,2
161,5,self-glorification and,1,self-glorification and,2,1,2
162,5,self-glorification,2,self-glorification,2,0,2
163,5,a manipulative whitewash,1,a manipulative whitewash,2,1,2
164,5,manipulative whitewash,1,manipulative whitewash,2,1,2
165,5,manipulative,2,manipulative,2,0,2
166,5,whitewash,2,whitewash,2,0,2
167,6,A comedy-drama of nearly epic proportions rooted in a sincere performance by the title character undergoing midlife crisis .,4,A comedy-drama of nearly epic proportions rooted in a sincere performance by the title character undergoing midlife crisis .,4,0,2
168,6,A comedy-drama of nearly epic proportions,3,A comedy-drama of nearly epic proportions,2,1,2
169,6,A comedy-drama,2,A comedy-drama,2,0,2
170,6,comedy-drama,2,comedy-drama,2,0,2
