,word
0,000
1,10
2,10 minutes
3,10 year
4,100
5,101
6,11
7,12
8,12 year
9,13
10,13 rating
11,15
12,15 minutes
13,15 years
14,18
15,18 year
16,19
17,1950s
18,1952
19,1958
20,1958 brooklyn
21,1970s
22,1984
23,1999
24,1999 rrb
25,19th
26,19th century
27,20
28,20 minutes
29,20 years
30,2002
31,20th
32,20th century
33,21st
34,21st century
35,22
36,22 year
37,30
38,3000
39,3d
40,40
41,48
42,50
43,50 year
44,50s
45,51
46,60
47,60s
48,70s
49,80
50,80 minutes
51,83
52,84
53,84 minutes
54,88
55,88 minute
56,90
57,90 minute
58,90 minutes
59,95
60,abandon
61,ability
62,ability to
63,able
64,able to
65,about
66,about an
67,about as
68,about being
69,about family
70,about growing
71,about his
72,about how
73,about human
74,about it
75,about its
76,about mary
77,about nothing
78,about one
79,about schmidt
80,about something
81,about the
82,about their
83,about them
84,about this
85,about two
86,about what
87,about women
88,about young
89,above
90,above average
91,above its
92,above the
93,absolute
94,absolutely
95,absorbing
96,abstract
97,absurd
98,absurdity
99,absurdity of
100,abundant
101,abuse
102,academy
103,accent
104,accents
105,accept
106,acceptable
107,access
108,access to
109,accessible
110,accident
111,accomplished
112,accomplishes
113,accomplishments
114,account
115,accurate
116,accurately
117,acerbic
118,ache
119,achieve
120,achievement
121,achieves
122,achingly
123,acknowledges
124,across
125,across as
126,across its
127,across the
128,act
129,acted
130,acted and
131,acted but
132,acting
133,acting and
134,acting chops
135,acting clinic
136,acting is
137,action
138,action and
139,action comedy
140,action film
141,action films
142,action flick
143,action hero
144,action movie
145,action packed
146,action scenes
147,action sequences
148,actions
149,actor
150,actors
151,actors in
152,actress
153,actresses
154,acts
155,actual
156,actually
157,actually funny
158,ad
159,adam
160,adam sandler
161,adams
162,adaptation
163,adaptation of
164,adapted
165,add
166,add up
167,added
168,addition
169,addition to
170,adds
171,adequate
172,adequately
173,admirable
174,admire
175,admire the
176,admission
177,admit
178,admit it
179,admittedly
180,adolescence
181,adolescent
182,adrenaline
183,adult
184,adults
185,adults and
186,advantage
187,adventure
188,adventure and
189,adventures
190,adventures of
191,adventurous
192,advice
193,affair
194,affected
195,affecting
196,affection
197,affection for
198,affirming
199,affleck
200,afghan
201,aficionados
202,afraid
203,afraid of
204,afraid to
205,african
206,african americans
207,after
208,after all
209,after an
210,after another
211,after school
212,after the
213,after while
214,after you
215,afterlife
216,afternoon
217,again
218,again and
219,against
220,against the
221,age
222,age story
223,age tale
224,aged
225,agency
226,agent
227,ages
228,aggrandizing
229,aggressive
230,aggressively
231,aging
232,ago
233,agonizing
234,ah
235,ahead
236,ahead of
237,aid
238,aids
